country,order_value_eur,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,profit,profit_margin,year,month,weekday
Uk,50689.19,43597.77,2020-11-18,Clothing,"Swaniawski, Runolfsson And Green",Jessamine Apark,Jay Morefield,Pc,77-9240051,7091.42,13.9900045749399,2020,11,Wednesday
Ireland,117358.02,102664.8,2020-02-11,Clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,Pc,79-8966057,14693.22,12.5199965030084,2020,2,Tuesday
Sweden,93996.68,77171.27,2020-10-10,Games,"Swaniawski, Runolfsson And Green",Maxie Marrow,Alyosha Meah,Mobile,75-0683725,16825.4099999999,17.9000045533523,2020,10,Saturday
Uk,119769.22,98234.71,2020-11-01,Books,"Bashirian, Okuneva And Bechtelar",Jessamine Apark,Jay Morefield,Pc,55-5032186,21534.5099999999,17.9800035434813,2020,11,Sunday
France,84194.21,71885.02,2020-12-26,Books,"Zieme, Bailey And Herzog",Othello Bowes,Avrit Chanders,Mobile,31-8836719,12309.19,14.619995840569,2020,12,Saturday
Finland,205582.75,166748.17,2020-12-22,Beauty,Tromp Llc,Hube Corey,Wat Bowkley,Pc,64-4923214,38834.5799999999,18.8899992825273,2020,12,Tuesday
Sweden,159793.46,139180.1,2019-06-15,Smartphones,"Swaniawski, Runolfsson And Green",Maxie Marrow,Alyosha Meah,Tablet,98-2574776,20613.3599999999,12.9000022904566,2019,6,Saturday
Portugal,104711.22,90868.4,2020-08-25,Clothing,Marquardt-Kuvalis,Celine Tumasian,Corene Shirer,Pc,33-0729966,13842.82,13.2199968637553,2020,8,Tuesday
France,69126.5,55902.6,2019-08-12,Electronics,"Farrell, Swaniawski And Crist",Othello Bowes,Avrit Chanders,Pc,07-3201531,13223.9,19.1300007956427,2019,8,Monday
Sweden,20226.11,17408.61,2019-02-23,Electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,Pc,21-3278349,2817.5,13.9300142241884,2019,2,Saturday
France,65036.81,52361.14,2019-05-30,Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,Pc,50-1695443,12675.6699999999,19.4899934360249,2019,5,Thursday
France,254021.98,205605.39,2019-03-07,Clothing,Mcglynn-Prosacco,Othello Bowes,Maighdiln Upcraft,Pc,52-3693331,48416.59,19.060000240924,2019,3,Thursday
Luxembourg,160185.99,130487.51,2020-09-27,Accessories,"Zieme, Bailey And Herzog",Ilsa Kob,Jocelyn Laurentino,Pc,98-3033030,29698.4799999999,18.5399984105975,2020,9,Sunday
Uk,81219.67,70319.99,2020-05-20,Clothing,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Pc,34-5793997,10899.6799999999,13.4200003521314,2020,5,Wednesday
Portugal,108412.76,88594.91,2019-03-08,Smartphones,Romaguera-Haley,Celine Tumasian,Corene Shirer,Mobile,52-7280101,19817.8499999999,18.2799976681711,2019,3,Friday
Spain,42028.45,36299.97,2020-01-03,Other,Hessel-Stiedemann,Emalia Dinse,Perri Aldersley,Pc,55-3118263,5728.47999999999,13.6300053892065,2020,1,Friday
Sweden,62272.96,54600.93,2019-02-20,Beauty,Romaguera-Haley,Maxie Marrow,Caro Morfield,Pc,58-9822844,7672.02999999999,12.3200021325467,2019,2,Wednesday
Sweden,91350.76,75839.4,2019-04-02,Games,Tillman And Sons,Maxie Marrow,Alyosha Meah,Pc,51-5324396,15511.36,16.9800010421369,2019,4,Tuesday
Uk,123272.44,101576.49,2019-01-20,Clothing,"Christiansen, Donnelly And Bechtelar",Jessamine Apark,Genevra Charrisson,Tablet,99-5465830,21695.9499999999,17.6000004542783,2019,1,Sunday
Luxembourg,182852.21,145440.65,2019-12-28,Outdoors,Johns And Sons,Ilsa Kob,Jocelyn Laurentino,Pc,01-8696189,37411.56,20.4599988154367,2019,12,Saturday
Portugal,118321.11,94822.54,2020-11-23,Electronics,Tillman And Sons,Celine Tumasian,Aurelie Wren,Tablet,20-7636879,23498.57,19.8599979327442,2020,11,Monday
Uk,74295.81,63716.09,2019-11-04,Games,"Keeling, Monahan And Pollich",Jessamine Apark,Genevra Charrisson,Pc,85-8092784,10579.72,14.2399954990732,2019,11,Monday
Uk,152865.34,121130.5,2020-06-12,Clothing,Konopelski Llc,Jessamine Apark,Genevra Charrisson,Pc,97-5905883,31734.8399999999,20.7599970012823,2020,6,Friday
France,171458.64,148877.54,2019-08-16,Books,Mcglynn-Bergstrom,Othello Bowes,Crysta Halls,Pc,74-6473826,22581.1,13.1699983156287,2019,8,Friday
Uk,156177.77,130096.08,2019-12-24,Clothing,Johns And Sons,Jessamine Apark,Winny Agnolo,Pc,91-0416047,26081.6899999999,16.7000015431133,2019,12,Tuesday
Portugal,116023.51,96566.37,2020-02-06,Smartphones,Tillman And Sons,Celine Tumasian,Smitty Culverhouse,Pc,34-0232219,19457.14,16.7699977358037,2020,2,Thursday
France,70657.26,61330.5,2020-05-09,Other,"Rowe, Hermiston And Kessler",Othello Bowes,Maighdiln Upcraft,Pc,34-0783331,9326.75999999999,13.2000023776749,2020,5,Saturday
Netherlands,104152.15,85696.39,2019-06-05,Smartphones,"Swaniawski, Runolfsson And Green",Denice Amberg,Nero Harbisher,Mobile,30-8215510,18455.7599999999,17.7199990590688,2019,6,Wednesday
Portugal,84224.98,68239.08,2019-01-21,Appliances,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Mobile,95-3196761,15985.8999999999,18.9799985704953,2019,1,Monday
Portugal,172505.24,139125.48,2020-02-10,Accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,Pc,99-3651863,33379.7599999999,19.3499977160113,2020,2,Monday
Portugal,89830.34,76795.96,2019-04-19,Games,Johns And Sons,Celine Tumasian,Aurelie Wren,Tablet,94-8641337,13034.3799999999,14.5099974017687,2019,4,Friday
Netherlands,353925.06,287528.72,2020-04-12,Clothing,Corwin And Sons,Denice Amberg,Nero Harbisher,Pc,36-2694099,66396.34,18.7599996451226,2020,4,Sunday
France,141436.98,114691.25,2019-05-26,Outdoors,Walter Llc,Othello Bowes,Maighdiln Upcraft,Pc,40-5308505,26745.73,18.9099979368903,2019,5,Sunday
Uk,178465.4,156282.15,2020-04-27,Accessories,Romaguera-Haley,Jessamine Apark,Winny Agnolo,Pc,68-8279682,22183.25,12.4300004370595,2020,4,Monday
Sweden,110092.84,92797.25,2020-06-29,Other,"Rowe, Hermiston And Kessler",Maxie Marrow,Anita Woakes,Tablet,50-2481520,17295.5899999999,15.7100043926562,2020,6,Monday
Uk,154715.49,126572.74,2020-10-23,Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,Pc,46-1054213,28142.7499999999,18.1900015311976,2020,10,Friday
Sweden,92877.57,75936.7,2020-05-04,Electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,Mobile,40-9497268,16940.87,18.2400013264774,2020,5,Monday
France,66141.13,53435.42,2019-05-26,Clothing,Stehr Llc,Othello Bowes,Ora Grennan,Pc,54-5107115,12705.71,19.2099983777114,2019,5,Sunday
Germany,241782.39,196544.91,2020-09-06,Appliances,Johns And Sons,Rickard Doogood,Casie Macbain,Pc,15-7053450,45237.48,18.7099978621271,2020,9,Sunday
Portugal,211872.69,177930.69,2019-07-23,Games,Johns And Sons,Celine Tumasian,Hortense Gerring,Mobile,36-2012010,33942.0,16.0199976693551,2019,7,Tuesday
Portugal,170408.23,143432.61,2020-03-11,Clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,Mobile,61-7521706,26975.62,15.8299983516054,2020,3,Wednesday
Sweden,157683.41,130624.94,2019-08-06,Electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,Tablet,17-0893784,27058.47,17.1599979985212,2019,8,Tuesday
Portugal,116157.89,97166.07,2019-11-14,Games,"Parisian, Steuber And Satterfield",Celine Tumasian,Hortense Gerring,Pc,23-5766200,18991.8199999999,16.3500042915724,2019,11,Thursday
France,56106.13,45081.27,2020-12-03,Electronics,"Rowe, Hermiston And Kessler",Othello Bowes,Amelina Piscopiello,Pc,24-3140242,11024.86,19.6500097226452,2020,12,Thursday
Sweden,40385.45,32591.06,2020-07-15,Smartphones,Armstrong-Little,Maxie Marrow,Tarrah Castelletti,Pc,81-0573181,7794.38999999999,19.2999954191422,2020,7,Wednesday
Uk,112491.58,92254.34,2019-10-24,Appliances,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Mobile,13-1936536,20237.24,17.9900042296499,2019,10,Thursday
Finland,200635.57,172245.64,2019-11-12,Clothing,Larkin-Collier,Hube Corey,Wat Bowkley,Pc,94-8026718,28389.9299999999,14.1499984274971,2019,11,Tuesday
Portugal,243176.92,202250.24,2020-03-07,Appliances,Gislason-Stanton,Celine Tumasian,Hortense Gerring,Pc,81-5976459,40926.68,16.8300017945782,2020,3,Saturday
Portugal,52227.07,45124.19,2019-03-14,Books,"Farrell, Swaniawski And Crist",Celine Tumasian,Corene Shirer,Pc,28-6038070,7102.87999999999,13.5999970896318,2019,3,Thursday
Bulgaria,147672.87,129110.39,2019-10-15,Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,Pc,81-7970957,18562.4799999999,12.5700001631985,2019,10,Tuesday
France,149500.61,125401.11,2020-07-24,Games,Mcglynn-Bergstrom,Othello Bowes,Crysta Halls,Pc,60-8646184,24099.4999999999,16.1200011157145,2020,7,Friday
France,53089.52,44812.86,2019-08-24,Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,Pc,32-2114915,8276.65999999999,15.590007217997,2019,8,Saturday
France,85223.07,73002.08,2019-09-15,Beauty,"Hamill, Kulas And Roob",Othello Bowes,Maighdiln Upcraft,Pc,58-7865136,12220.99,14.3400020675152,2019,9,Sunday
Denmark,58948.52,49416.54,2020-05-20,Clothing,Wisoky Inc,Modestia Byfford,Case Desorts,Pc,98-9112505,9531.97999999999,16.1700073216426,2020,5,Wednesday
Portugal,165696.9,132275.84,2020-10-22,Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,Pc,03-0455038,33421.06,20.1699971453901,2020,10,Thursday
Sweden,177993.88,145029.41,2019-02-12,Outdoors,Johns And Sons,Maxie Marrow,Alyosha Meah,Tablet,71-0122842,32964.47,18.5200019236616,2019,2,Tuesday
France,108713.83,90341.19,2020-09-03,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Pc,55-1395838,18372.64,16.90000251118,2020,9,Thursday
Finland,25816.05,21447.97,2019-08-09,Clothing,Smith Group,Hube Corey,Mellicent Mattys,Mobile,95-7886861,4368.07999999999,16.9200168112472,2019,8,Friday
Portugal,154072.89,121887.06,2020-09-30,Beauty,"Rowe, Hermiston And Kessler",Celine Tumasian,Smitty Culverhouse,Pc,19-3013452,32185.83,20.8900021282134,2020,9,Wednesday
Finland,194962.05,154975.33,2020-05-07,Appliances,"Rowe, Hermiston And Kessler",Hube Corey,Mellicent Mattys,Pc,54-5082146,39986.72,20.5100018183025,2020,5,Thursday
Portugal,60744.83,52805.48,2020-03-19,Smartphones,Gislason-Stanton,Celine Tumasian,Brynn Dempster,Pc,69-4462108,7939.34999999999,13.0700011836398,2020,3,Thursday
Sweden,39313.39,34273.41,2020-10-10,Beauty,Corwin And Sons,Maxie Marrow,Anita Woakes,Mobile,68-3731565,5039.97999999999,12.8200086535401,2020,10,Saturday
France,119820.82,98289.02,2019-06-16,Appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,Pc,82-2972108,21531.8,17.9699988699793,2019,6,Sunday
Uk,129485.51,112794.83,2019-05-01,Appliances,Mcglynn-Prosacco,Jessamine Apark,Jay Morefield,Pc,15-2503493,16690.6799999999,12.8899982708489,2019,5,Wednesday
Italy,163203.64,140893.7,2019-06-21,Smartphones,"Swaniawski, Runolfsson And Green",Piggy Roscrigg,Joshua Prevost,Pc,37-0857161,22309.94,13.6700014779082,2019,6,Friday
France,62788.04,53049.61,2020-02-13,Appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,Pc,71-2709641,9738.43,15.5100079569293,2020,2,Thursday
Portugal,148037.71,117867.62,2020-04-14,Electronics,Romaguera-Dietrich,Celine Tumasian,Corene Shirer,Pc,10-5899580,30170.0899999999,20.3800031762177,2020,4,Tuesday
Ireland,55539.67,45620.29,2020-03-21,Electronics,Altenwerth-Konopelski,Glenine Suttaby,Palm Wetherald,Pc,10-9241948,9919.37999999999,17.8599908857938,2020,3,Saturday
France,150135.0,131067.85,2020-09-09,Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,Pc,68-0080728,19067.1499999999,12.700003330336,2020,9,Wednesday
Ireland,85294.3,72662.21,2020-03-25,Beauty,"Zieme, Bailey And Herzog",Glenine Suttaby,Bunnie Tonbridge,Pc,47-0640313,12632.0899999999,14.810004888955,2020,3,Wednesday
Luxembourg,136079.62,119178.53,2019-08-29,Games,West-Cummings,Ilsa Kob,Jocelyn Laurentino,Pc,37-6597365,16901.0899999999,12.4200008788972,2019,8,Thursday
Finland,186397.6,161233.92,2020-04-12,Appliances,Friesen And Sons,Hube Corey,Mellicent Mattys,Mobile,13-0833129,25163.6799999999,13.5000021459503,2020,4,Sunday
Germany,32695.37,26375.35,2020-11-28,Accessories,Johns And Sons,Rickard Doogood,Casie Macbain,Mobile,15-2994585,6320.02,19.3300152284558,2020,11,Saturday
France,86077.83,72288.16,2019-03-11,Appliances,Johns And Sons,Othello Bowes,Amelina Piscopiello,Pc,85-7784608,13789.6699999999,16.020001898282,2019,3,Monday
Sweden,72885.55,59773.44,2020-12-29,Clothing,Johns And Sons,Maxie Marrow,Anita Woakes,Pc,22-3969127,13112.11,17.9899993894537,2020,12,Tuesday
Portugal,100469.75,82566.04,2019-05-17,Electronics,Johns And Sons,Celine Tumasian,Aurelie Wren,Pc,80-2242820,17903.71,17.8200005474284,2019,5,Friday
Sweden,40831.52,34192.31,2019-04-26,Appliances,Labadie And Sons,Maxie Marrow,Madelon Bront,Pc,35-1705563,6639.20999999999,16.2600118731803,2019,4,Friday
Italy,142353.07,116046.22,2019-07-24,Books,Dibbert Inc,Piggy Roscrigg,Joshua Prevost,Pc,93-9941140,26306.85,18.4800018714032,2019,7,Wednesday
Sweden,250315.06,218825.43,2019-08-07,Beauty,Mcglynn-Prosacco,Maxie Marrow,Alyosha Meah,Pc,36-2366573,31489.63,12.5799981830897,2019,8,Wednesday
Uk,100094.97,84690.35,2020-08-11,Games,"Swaniawski, Runolfsson And Green",Jessamine Apark,Genevra Charrisson,Pc,10-9932801,15404.6199999999,15.3900041130937,2020,8,Tuesday
Uk,77128.75,65536.3,2020-09-08,Books,"Dickinson, Hyatt And Berge",Jessamine Apark,Jay Morefield,Mobile,70-8991739,11592.4499999999,15.0299985413999,2020,9,Tuesday
France,176114.73,149257.23,2020-11-24,Electronics,Johns And Sons,Othello Bowes,Maighdiln Upcraft,Pc,97-4830372,26857.5,15.2500020867079,2020,11,Tuesday
France,146325.53,118333.46,2020-09-08,Games,Stehr-Bogan,Othello Bowes,Crysta Halls,Pc,95-8015610,27992.0699999999,19.1299973422272,2020,9,Tuesday
Germany,161823.46,130494.44,2020-07-20,Clothing,Friesen-Rath,Rickard Doogood,Casie Macbain,Pc,84-1062113,31329.0199999999,19.3599988530711,2020,7,Monday
Sweden,132632.97,112035.07,2019-04-23,Electronics,"Keeling, Monahan And Pollich",Maxie Marrow,Anita Woakes,Pc,05-5082715,20597.8999999999,15.5299998182955,2019,4,Tuesday
Portugal,107232.99,85207.33,2020-08-03,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Pc,35-6942653,22025.66,20.5400035940432,2020,8,Monday
Sweden,120763.23,96719.27,2020-04-14,Clothing,"Murray, Reichel And Nolan",Maxie Marrow,Anita Woakes,Pc,79-6623911,24043.9599999999,19.9100007510564,2020,4,Tuesday
Bulgaria,278731.9,221591.86,2019-05-12,Appliances,West-Cummings,Charil Alpe,Bernadine Fullagar,Pc,48-7662634,57140.04,20.5000001793838,2019,5,Sunday
Bulgaria,138153.7,112926.83,2019-02-14,Games,Mcglynn-Bergstrom,Charil Alpe,Bernadine Fullagar,Pc,46-5888587,25226.87,18.2600031703819,2019,2,Thursday
Ireland,68802.13,54635.77,2020-09-15,Beauty,Kirlin And Sons,Glenine Suttaby,Bunnie Tonbridge,Pc,17-3178991,14166.36,20.5900020827843,2020,9,Tuesday
Finland,35619.28,28192.66,2019-08-01,Electronics,"Murray, Reichel And Nolan",Hube Corey,Wat Bowkley,Pc,18-8528486,7426.61999999999,20.8500003368961,2019,8,Thursday
Uk,65014.84,53669.75,2020-03-27,Outdoors,"Dickinson, Hyatt And Berge",Jessamine Apark,Genevra Charrisson,Mobile,55-4588115,11345.0899999999,17.4500006460063,2020,3,Friday
Germany,48922.42,39387.44,2020-10-19,Outdoors,"Murray, Reichel And Nolan",Rickard Doogood,Casie Macbain,Tablet,19-9073616,9534.97999999999,19.4900006990659,2020,10,Monday
France,165262.34,142621.4,2020-05-19,Electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,Mobile,96-0020600,22640.94,13.6999996490428,2020,5,Tuesday
Portugal,164117.24,133509.37,2020-05-28,Electronics,"Zieme, Bailey And Herzog",Celine Tumasian,Corene Shirer,Pc,88-7664123,30607.8699999999,18.6500028881792,2020,5,Thursday
Portugal,238085.99,193587.72,2020-07-16,Clothing,"Rowe, Hermiston And Kessler",Celine Tumasian,Hortense Gerring,Pc,17-8884817,44498.2699999999,18.689999356955,2020,7,Thursday
Sweden,117733.51,97294.97,2019-07-13,Electronics,Connelly-Mohr,Maxie Marrow,Tarrah Castelletti,Pc,45-5509135,20438.5399999999,17.3600022627372,2019,7,Saturday
France,26713.46,22043.95,2020-12-10,Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,Pc,81-4176165,4669.50999999999,17.4799894884451,2020,12,Thursday
France,49664.17,39244.63,2019-10-30,Books,"Swaniawski, Runolfsson And Green",Othello Bowes,Amelina Piscopiello,Pc,24-9702599,10419.54,20.9799942292401,2019,10,Wednesday
Sweden,162101.93,133912.4,2019-12-19,Smartphones,"Rowe, Hermiston And Kessler",Maxie Marrow,Tarrah Castelletti,Pc,24-4272786,28189.53,17.3900026976853,2019,12,Thursday
France,118027.37,96050.67,2019-06-04,Beauty,Johns And Sons,Othello Bowes,Ora Grennan,Pc,77-3656041,21976.6999999999,18.6200031399496,2019,6,Tuesday
Sweden,147994.63,129643.3,2019-01-27,Games,Stamm Inc,Maxie Marrow,Alyosha Meah,Pc,47-7207206,18351.33,12.3999972161152,2019,1,Sunday
Finland,48946.74,38765.82,2019-04-19,Accessories,"Swaniawski, Runolfsson And Green",Hube Corey,Mellicent Mattys,Pc,65-2022928,10180.9199999999,20.7999960773689,2019,4,Friday
Sweden,73860.57,60336.7,2020-11-13,Clothing,Mcglynn-Prosacco,Maxie Marrow,Madelon Bront,Pc,16-5837761,13523.87,18.3099995031178,2020,11,Friday
Portugal,86083.27,72309.95,2019-11-30,Electronics,Connelly-Mohr,Celine Tumasian,Hortense Gerring,Pc,80-7090422,13773.32,15.9999962826691,2019,11,Saturday
Finland,72385.53,60181.33,2019-10-09,Clothing,Johns And Sons,Hube Corey,Wat Bowkley,Pc,66-8222460,12204.1999999999,16.859999505426,2019,10,Wednesday
Portugal,120332.26,102282.42,2020-01-14,Clothing,"Parisian, Steuber And Satterfield",Celine Tumasian,Hortense Gerring,Tablet,44-0527427,18049.8399999999,15.0000008310323,2020,1,Tuesday
Sweden,81262.34,65326.8,2019-06-09,Books,Johns And Sons,Maxie Marrow,Anita Woakes,Mobile,75-9517276,15935.5399999999,19.6099940021416,2019,6,Sunday
Austria,139075.59,113708.2,2020-12-16,Games,"Murray, Reichel And Nolan",Orsa Geekin,Bank Coumbe,Pc,24-2403756,25367.39,18.2400017141757,2020,12,Wednesday
France,50516.2,43918.78,2019-03-22,Electronics,Wiza And Sons,Othello Bowes,Maighdiln Upcraft,Pc,50-1986322,6597.41999999999,13.0600084725296,2019,3,Friday
Sweden,112228.82,97470.73,2019-09-15,Outdoors,Gislason-Stanton,Maxie Marrow,Madelon Bront,Pc,75-9585763,14758.09,13.1500001514762,2019,9,Sunday
France,79833.6,63411.83,2019-06-15,Appliances,Mcglynn-Bergstrom,Othello Bowes,Avrit Chanders,Pc,86-6760202,16421.77,20.5699980960397,2019,6,Saturday
Finland,135629.36,118526.5,2020-12-08,Games,Tillman And Sons,Hube Corey,Mellicent Mattys,Pc,66-7717800,17102.8599999999,12.6099983071511,2020,12,Tuesday
Luxembourg,175332.04,144999.6,2020-09-24,Accessories,Hegmann Group,Ilsa Kob,Jocelyn Laurentino,Pc,89-8942175,30332.44,17.2999983345884,2020,9,Thursday
Portugal,101923.36,86115.05,2019-01-19,Beauty,"Shanahan, Schaden And Parker",Celine Tumasian,Brynn Dempster,Mobile,38-0584273,15808.3099999999,15.5099969231783,2019,1,Saturday
Germany,190100.96,160749.37,2019-12-20,Electronics,Walter Llc,Rickard Doogood,Casie Macbain,Pc,38-8840357,29351.5899999999,15.4400009342404,2019,12,Friday
Netherlands,152771.9,134423.99,2020-02-05,Clothing,Mcclure Inc,Denice Amberg,Nero Harbisher,Pc,82-4495901,18347.91,12.0100031484847,2020,2,Wednesday
France,52805.94,43791.97,2020-06-22,Smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,Pc,81-2373308,9013.97,17.0699925046311,2020,6,Monday
Portugal,51416.24,43338.75,2020-04-15,Smartphones,"Spencer, Rogahn And Muller",Celine Tumasian,Aurelie Wren,Pc,15-0224516,8077.48999999999,15.7099974638363,2020,4,Wednesday
Luxembourg,76426.54,66116.6,2019-03-16,Clothing,O'Connell-Mitchell,Ilsa Kob,Jocelyn Laurentino,Pc,95-6935153,10309.9399999999,13.4899996781222,2019,3,Saturday
France,118021.59,98229.37,2019-04-21,Beauty,"Lubowitz, Mclaughlin And Erdman",Othello Bowes,Maighdiln Upcraft,Pc,60-8661261,19792.22,16.7699994551844,2019,4,Sunday
Portugal,59378.97,52176.3,2020-04-25,Appliances,Schoen-Keeling,Celine Tumasian,Corene Shirer,Pc,56-2783503,7202.66999999999,12.1300015813679,2020,4,Saturday
Spain,61325.25,49379.09,2020-07-29,Beauty,Hessel-Stiedemann,Emalia Dinse,Manuel Goudie,Tablet,95-1516475,11946.16,19.4800021198446,2020,7,Wednesday
France,80431.34,69774.19,2019-07-22,Beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,Pc,32-5562588,10657.1499999999,13.249996829594,2019,7,Monday
Portugal,177919.14,147370.42,2020-07-06,Beauty,Walter Llc,Celine Tumasian,Aurelie Wren,Pc,70-7769332,30548.72,17.1700020582383,2020,7,Monday
Ireland,37520.09,32781.3,2020-05-27,Clothing,Kihn Inc,Glenine Suttaby,Bunnie Tonbridge,Mobile,07-6200800,4738.78999999999,12.6300070175737,2020,5,Wednesday
Spain,68745.86,58014.63,2019-09-04,Electronics,Labadie And Sons,Emalia Dinse,Manuel Goudie,Pc,11-2988171,10731.23,15.6100018241098,2019,9,Wednesday
Denmark,69017.42,55897.21,2020-02-04,Electronics,Hegmann Group,Modestia Byfford,Case Desorts,Pc,38-3894304,13120.21,19.0099977657814,2020,2,Tuesday
France,48850.38,39788.63,2019-03-31,Appliances,"Spencer, Rogahn And Muller",Othello Bowes,Crysta Halls,Pc,33-6126082,9061.75,18.550009232272,2019,3,Sunday
Netherlands,253291.55,219502.46,2020-12-06,Books,Altenwerth-Konopelski,Denice Amberg,Nero Harbisher,Pc,25-4970452,33789.09,13.3399989063985,2020,12,Sunday
Portugal,47186.74,38112.73,2019-07-28,Electronics,"Hartmann, Hane And Pfannerstill",Celine Tumasian,Aurelie Wren,Pc,34-8903845,9074.00999999999,19.2299997838375,2019,7,Sunday
Portugal,59670.68,51269.05,2019-10-09,Appliances,"Shanahan, Schaden And Parker",Celine Tumasian,Aurelie Wren,Pc,32-2110689,8401.62999999999,14.0799970772915,2019,10,Wednesday
Portugal,228961.3,183764.34,2020-01-06,Appliances,Johns And Sons,Celine Tumasian,Hortense Gerring,Pc,37-8204282,45196.9599999999,19.7399997292118,2020,1,Monday
France,165259.58,130703.8,2020-06-26,Outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,Pc,46-1318487,34555.7799999999,20.9100011025079,2020,6,Friday
France,219911.81,179426.05,2019-05-07,Clothing,Smith Group,Othello Bowes,Crysta Halls,Pc,99-3971751,40485.76,18.4099980805942,2019,5,Tuesday
Finland,55882.12,48561.56,2020-05-20,Clothing,"Murray, Reichel And Nolan",Hube Corey,Mellicent Mattys,Pc,24-7985425,7320.56,13.100004080017,2020,5,Wednesday
France,16388.9,13430.7,2020-03-15,Electronics,West-Cummings,Othello Bowes,Crysta Halls,Pc,30-9690927,2958.2,18.0500216610022,2020,3,Sunday
Spain,85927.37,74490.44,2019-04-15,Clothing,"Hartmann, Hane And Pfannerstill",Emalia Dinse,Perri Aldersley,Pc,37-5025811,11436.9299999999,13.3099965703593,2019,4,Monday
France,161212.39,138046.17,2020-04-07,Accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,Pc,21-6670877,23166.22,14.3699997252072,2020,4,Tuesday
France,66678.38,53009.31,2019-04-03,Smartphones,Walter Llc,Othello Bowes,Amelina Piscopiello,Pc,34-3119010,13669.07,20.5000031494466,2019,4,Wednesday
Sweden,148243.05,120566.07,2020-07-12,Beauty,Johns And Sons,Maxie Marrow,Madelon Bront,Pc,54-7503816,27676.9799999999,18.6700017302666,2020,7,Sunday
Ireland,126523.36,106368.19,2020-05-14,Games,Gleichner-Green,Glenine Suttaby,Bunnie Tonbridge,Pc,96-1698894,20155.17,15.9299990136208,2020,5,Thursday
Ireland,63373.72,55572.41,2020-03-03,Clothing,"Dickinson, Hyatt And Berge",Glenine Suttaby,Bunnie Tonbridge,Pc,92-0523700,7801.30999999999,12.3100079970056,2020,3,Tuesday
Ireland,76767.77,64500.28,2020-01-22,Games,"Spencer, Rogahn And Muller",Glenine Suttaby,Bunnie Tonbridge,Pc,15-3657248,12267.49,15.980000461131,2020,1,Wednesday
Portugal,78938.82,65471.86,2019-04-24,Games,"Fisher, Morar And Skiles",Celine Tumasian,Brynn Dempster,Pc,16-3423161,13466.96,17.059996589764,2019,4,Wednesday
France,131864.04,110277.9,2019-09-04,Appliances,"Murray, Reichel And Nolan",Othello Bowes,Ora Grennan,Pc,67-2684209,21586.14,16.3699974610212,2019,9,Wednesday
Portugal,116774.43,98954.65,2019-04-21,Accessories,Labadie And Sons,Celine Tumasian,Hortense Gerring,Mobile,21-7344983,17819.78,15.2600016972893,2019,4,Sunday
France,141112.84,120044.69,2020-08-08,Electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,Mobile,47-9701762,21068.1499999999,14.9300021174543,2020,8,Saturday
Bulgaria,33210.56,29109.06,2020-11-20,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,Pc,86-3876359,4101.49999999999,12.3499874738637,2020,11,Friday
France,174392.33,141449.62,2020-03-08,Smartphones,Labadie And Sons,Othello Bowes,Ora Grennan,Pc,34-4313860,32942.7099999999,18.8899993480217,2020,3,Sunday
Sweden,204484.61,177308.61,2019-06-16,Games,"Hermiston, Simonis And Wisoky",Maxie Marrow,Caro Morfield,Tablet,71-4782689,27176.0,13.2899977166985,2019,6,Sunday
Germany,80986.1,64124.79,2019-02-12,Appliances,"Dickinson, Hyatt And Berge",Rickard Doogood,Casie Macbain,Mobile,85-3690127,16861.31,20.8200049144235,2019,2,Tuesday
Sweden,179179.73,154936.71,2019-10-22,Books,"Zieme, Bailey And Herzog",Maxie Marrow,Anita Woakes,Pc,66-5810051,24243.02,13.5300014125481,2019,10,Tuesday
